Age_days	Mean_All_Monkey_prop	Female	Noord	Oost	Zuid	West	Regio	Age_years	psw
2197	.589166666666667	0	0	0	0	1	4	6	.996
2229	.281666666666667	1	0	0	0	1	4	6	.858
2237	.391666666666667	0	0	0	0	1	4	6	.996
2238	.39	1	0	0	0	1	4	6	.858
2251	.605	1	0	0	0	1	4	6	.858
2255	.569166666666667	1	0	0	0	1	4	6	.858
2258	.375	1	0	0	0	1	4	6	.858
2258	.573333333333333	1	0	0	0	1	4	6	.858
2259	.0933333333333333	0	0	0	0	1	4	6	.996
2260	.210833333333333	0	0	0	1	0	3	6	1.1165
2262	.406666666666667	1	0	1	0	0	2	6	.8792
2264	.435833333333333	0	0	0	0	1	4	6	.996
2265	.346666666666667	1	0	0	0	1	4	6	.858
2266	.340833333333333	1	0	0	0	1	4	6	.858
2272	.533333333333333	1	0	0	0	1	4	6	.858
2274	.113333333333333	1	0	0	0	1	4	6	.858
2276	.599166666666667	1	0	1	0	0	2	6	.8792
2279	.238333333333333	0	0	0	0	1	4	6	.996
2285	.310833333333333	0	0	0	0	1	4	6	.996
2288	.445	1	0	0	0	1	4	6	.858
2294	.236666666666667	0	0	0	1	0	3	6	1.1165
2299	.298333333333333	0	0	0	0	1	4	6	.996
2302	.18	0	0	0	0	1	4	6	.996
2302	.559166666666667	1	0	1	0	0	2	6	.8792
2303	.801666666666667	0	0	0	0	1	4	6	.996
2303	.515833333333333	1	0	0	0	1	4	6	.858
2304	.540833333333333	1	0	0	0	1	4	6	.858
2305	.3675	1	0	0	0	1	4	6	.858
2305	.12	1	0	0	0	1	4	6	.858
2306	.599166666666667	0	0	0	0	1	4	6	.996
2309	.48	1	0	1	0	0	2	6	.8792
2309	.323333333333333	0	0	0	0	1	4	6	.996
2310	.29	1	0	0	0	1	4	6	.858
2310	.454166666666667	0	0	0	0	1	4	6	.996
2311	.2275	0	0	0	0	1	4	6	.996
2313	.0791666666666667	0	0	0	0	1	4	6	.996
2313	.56	1	1	0	0	0	1	6	1.8346
2313	.473333333333333	0	1	0	0	0	1	6	1.6923
2316	.103333333333333	1	0	1	0	0	2	6	.8792
2317	.206666666666667	0	0	0	0	1	4	6	.996
2317	.0866666666666667	0	0	0	0	1	4	6	.996
2317	.233333333333333	1	0	0	0	1	4	6	.858
2318	.433333333333333	1	0	0	0	1	4	6	.858
2318	.3625	1	0	1	0	0	2	6	.8792
2319	.3	0	0	0	0	1	4	6	.996
2319	.4775	0	0	0	0	1	4	6	.996
