"lftd" "LS" "AS" "sekse" "noord" "oost" "zuid" "west" "regio" "lftj" "psw" "LOLS" "LOAS" "DT"
2192 0.3725 0.394166666666667 1 0 0 0 1 4 6 0.9539 -0.521506633186325 -0.429831089041585 -2.3
2193 0.3325 0.534166666666666 0 0 0 1 0 3 6 1.1182 -0.696899530178496 0.136879983765568 -14.6
2195 0.276666666666667 0.3 0 0 0 0 1 4 6 0.8903 -0.96105674574386 -0.847297860387204 -2
2195 0.340833333333333 0.473333333333333 0 1 0 0 0 1 6 1.7555 -0.659582811724854 -0.106767975425708 -9.3
2195 0.6975 0.56 1 1 0 0 0 1 6 1.8843 0.835421236224625 0.241162056816888 3
2197 0.3425 0.085 1 0 0 0 1 4 6 0.9539 -0.65217310634964 -2.3762728087852 13.1
2198 0.555 0.206666666666667 0 0 0 0 1 4 6 0.8903 0.220893831580194 -1.34513628862638 17.2
2198 0.476666666666667 0.0866666666666667 0 0 0 0 1 4 6 0.8903 -0.0934011750883994 -2.35503156836659 19.9
2198 0.6 0.444166666666667 1 0 0 0 1 4 6 0.9539 0.405465108108164 -0.224268621749778 6.4
2198 0.405833333333333 0.508333333333333 1 0 0 1 0 3 6 0.8999 -0.381217297331708 0.0333364202675904 -8.7
2201 0.333333333333333 0.541666666666667 1 0 1 0 0 2 6 1.0027 -0.693147180559947 0.167054084663167 -15.3
2201 0.1475 0.0966666666666667 0 0 0 0 1 4 6 0.8903 -1.7543450333778 -2.23482299089323 1.1
2203 0.535 0.516666666666667 1 0 1 0 0 2 6 1.0027 0.14022934130865 0.0666913744986738 -2.7
2204 0.19 0.4775 0 0 0 0 1 4 6 0.8903 -1.450010175506 -0.0900608239181811 -18
2205 0.290833333333333 0.454166666666667 1 0 0 0 1 4 6 0.9539 -0.891340206370948 -0.183849440972006 -10.6
2206 0.550833333333333 0.4175 0 0 1 0 0 2 6 1.0023 0.204038268942688 -0.333044641148946 5.4
2207 0.6525 0.438333333333333 1 0 0 0 1 4 6 0.9539 0.630046474192001 -0.247928898174598 9.8
2207 0.576666666666667 0.438333333333333 1 0 0 0 1 4 6 0.9539 0.309104508039189 -0.247928898174598 5.4
2208 0.784166666666667 0.698333333333333 1 0 0 1 0 3 6 0.8999 1.29011507788584 0.839373888656311 -3.8
2208 0.585833333333333 0.3675 1 0 0 0 1 4 6 0.9539 0.346766865714035 -0.542956901948784 10.4
2209 0.403333333333333 0.491666666666667 1 0 0 0 1 4 6 0.9539 -0.391595260244015 -0.0333364202675907 -7.6
2210 0.331666666666667 0.394166666666667 1 0 0 0 1 4 6 0.9539 -0.700656602582075 -0.429831089041585 -4.5
2210 0.689166666666667 0.543333333333333 0 0 0 0 1 4 6 0.8903 0.796226275379878 0.173769274978636 3.9
2211 0.523333333333333 0.465 1 0 1 0 0 2 6 1.0027 0.0934011750883994 -0.14022934130865 0.6
2214 0.460833333333333 0.595833333333333 0 0 0 1 0 3 6 1.1182 -0.156988292978567 0.388133651756523 -13.7
2214 0.02 0.611666666666667 0 1 0 0 0 1 6 1.7555 -3.89182029811063 0.454323394488871 -47
2215 0.3675 0.5 1 0 1 0 0 2 6 1.0027 -0.542956901948784 0 -10.1
2215 0.440833333333333 0.2 1 0 0 0 1 4 6 0.9539 -0.237780705113384 -1.38629436111989 11.4
2219 0.458333333333333 0.233333333333333 1 0 0 0 1 4 6 0.9539 -0.167054084663168 -1.18958406687384 10.6
2220 0.714166666666667 0.491666666666667 1 0 0 0 1 4 6 0.9539 0.915707471431841 -0.0333364202675907 9.7
2224 0.225 0.321666666666667 1 0 0 1 0 3 6 0.8999 -1.23676262714893 -0.746122996537708 -6.2
2225 0.699166666666666 0.375833333333333 0 0 0 0 1 4 6 0.8903 0.843332748134322 -0.507271644014542 16.6
2225 0.4175 0.410833333333333 1 0 0 1 0 3 6 0.8999 -0.333044641148946 -0.360521491853884 -1.3
2226 0.2075 0.209166666666667 1 0 0 0 1 4 6 0.9539 -1.34006116608068 -1.32995585947814 -1.4
2226 0.605833333333333 0.249166666666667 0 1 0 0 0 1 6 1.7555 0.429831089041585 -1.10306168421765 17.7
2228 0.563333333333333 0.365 0 0 0 0 1 4 6 0.8903 0.254701391721921 -0.5537276453102 9.1
2229 0.28 0.285833333333333 1 0 0 0 1 4 6 0.9539 -0.944461608840851 -0.915707471431842 -1.3
2230 0.245 0.441666666666667 1 0 0 0 1 4 6 0.9539 -1.1254595387043 -0.234400705838843 -12.3
2232 0.5075 0.5 1 0 0 0 1 4 6 0.9539 0.0300022503037987 0 -3
2232 0.249166666666667 0.291666666666667 1 0 0 0 1 4 6 0.9539 -1.10306168421765 -0.887303195000901 -3.3
2233 0.689166666666667 0.466666666666667 1 0 0 0 1 4 6 0.9539 0.796226275379878 -0.133531392624521 9.9
2233 0.395 0.236666666666667 1 0 0 0 1 4 6 0.9539 -0.42634269312972 -1.17104212651292 7.1
2235 0.335833333333333 0.458333333333333 1 0 0 0 1 4 6 0.9539 -0.681918116843534 -0.167054084663168 -8.7
2237 0.22 0.493333333333333 0 1 0 0 0 1 6 1.7555 -1.26566637333128 -0.0266682470821627 -17.5
2237 0.469166666666667 0.488333333333333 0 0 0 0 1 4 6 0.8903 -0.123490027432472 -0.046675138570131 -4.1
2238 0.5225 0.359166666666667 1 0 0 0 1 4 6 0.9539 0.0900608239181809 -0.578982879401895 7.2
2238 0.473333333333333 0.638333333333333 1 0 0 1 0 3 6 0.8999 -0.106767975425708 0.568137635640185 -17.2
2238 0.459166666666667 0.5175 1 0 0 1 0 3 6 0.8999 -0.163697907551174 0.0700286043604833 -7
2239 0.6125 0.354166666666667 0 0 0 1 0 3 6 1.1182 0.457833093625481 -0.600773860428929 12.4
2239 0.648333333333333 0.515833333333333 1 0 0 0 1 4 6 0.9539 0.611721210142378 0.0633545158326837 3.5
2239 0.520833333333333 0.460833333333333 1 0 0 1 0 3 6 0.8999 0.0833816089390498 -0.156988292978567 0.6
2240 0.289166666666667 0.4725 1 0 0 0 1 4 6 0.9539 -0.899434767544818 -0.110111118416424 -12.2
2241 0.573333333333333 0.0933333333333333 0 0 1 0 0 2 6 1.0023 0.295464212893835 -2.27359755612079 24.2
2242 0.285833333333333 0.4575 0 0 0 0 1 4 6 0.8903 -0.915707471431842 -0.170411200699039 -11.3
2242 0.464166666666667 0.464166666666667 0 0 1 0 0 2 6 1.0023 -0.143579484310334 -0.143579484310334 -2.6
2242 0.4375 0.296666666666667 0 0 0 1 0 3 6 1.1182 -0.251314428280906 -0.863221763743925 6.1
2243 0.265 0.595833333333333 1 0 0 0 1 4 6 0.9539 -1.02014067322661 0.388133651756523 -23.9
2244 0.366666666666667 0.5575 0 0 0 1 0 3 6 1.1182 -0.546543706368069 0.23102203888629 -15.2
2244 0.605 0.438333333333333 0 0 0 1 0 3 6 1.1182 0.42634269312972 -0.247928898174598 6.8
2245 0.33 0.225833333333333 1 0 1 0 0 2 6 1.0027 -0.708185057924486 -1.23198991793414 4.3
2246 0.675 0.6175 0 0 0 1 0 3 6 1.1182 0.730887508542793 0.478950415235542 -4
2247 0.731666666666667 0.5875 1 0 1 0 0 2 6 1.0027 1.00309504809071 0.353640040243578 2.5
2247 0.303333333333333 0.406666666666667 1 0 0 0 1 4 6 0.9539 -0.831474745447963 -0.377762505558827 -7
2247 0.25 0.271666666666667 1 0 1 0 0 2 6 1.0027 -1.09861228866811 -0.986182994288826 -2.3
2248 0.411666666666667 0.501666666666667 1 0 0 0 1 4 6 0.9539 -0.357079720305318 0.00666669135819084 -8.2
2248 0.4 0.2325 1 0 0 0 1 4 6 0.9539 -0.405465108108164 -1.19424825443394 7.5
2248 0.216666666666667 0.515833333333333 1 0 0 0 1 4 6 0.9539 -1.28519824424852 0.0633545158326837 -19.5
2250 0.505833333333333 0.320833333333333 1 0 1 0 0 2 6 1.0027 0.0233343920617715 -0.74994477895308 8.3
2250 0.335 0.3125 1 0 0 0 1 4 6 0.9539 -0.685656508830788 -0.78845736036427 0
2250 0.539166666666667 0.49 0 0 0 0 1 4 6 0.8903 0.156988292978567 -0.0400053346136992 -0.7
2252 0.609166666666667 0.314166666666667 1 0 1 0 0 2 6 1.0027 0.4438106913035 -0.780711013229058 14.3
2252 0.343333333333333 0.278333333333333 0 0 1 0 0 2 6 1.0023 -0.648474740508354 -0.952743915585736 2.2
2252 0.615833333333333 0.480833333333333 1 1 0 0 0 1 6 1.8843 0.471899877951552 -0.0767042522793549 4.3
2253 0.493333333333333 0.5025 1 0 1 0 0 2 6 1.0027 -0.0266682470821627 0.0100000833345832 -4.1
2253 0.164166666666667 0.545 0 0 0 0 1 4 6 0.8903 -1.62754705922394 0.180488375712294 -25.2
2254 0.838333333333333 0.243333333333333 0 0 0 0 1 4 6 0.8903 1.64587919159635 -1.13449057633301 33.8
2255 0.83 0.533333333333333 1 0 0 0 1 4 6 0.9539 1.58562726374038 0.133531392624521 14.7
2255 0.11 0.461666666666667 0 0 0 1 0 3 6 1.1182 -2.09074109693377 -0.153634817035317 -22.4
2256 0.364166666666667 0.123333333333333 1 0 0 0 1 4 6 0.9539 -0.557324836188865 -1.96123611953354 11.3
2256 0.695833333333333 0.466666666666667 1 0 0 0 1 4 6 0.9539 0.827534371268362 -0.133531392624521 10.2
2258 0.649166666666667 0.436666666666667 0 0 1 0 0 2 6 1.0023 0.615378212188368 -0.254701391721921 9.4
2258 0.2875 0.43 1 0 0 0 1 4 6 0.9539 -0.9075570519054 -0.281851152140988 -9.4
2259 0.453333333333333 0.0633333333333333 1 0 0 0 1 4 6 0.9539 -0.187211542088148 -2.69391569016731 19.9
2261 0.434166666666667 0.3925 0 0 1 0 0 2 6 1.0023 -0.264871085805328 -0.43681563799224 0.5
2261 0.266666666666667 0.0933333333333333 0 0 1 0 0 2 6 1.0023 -1.01160091167848 -2.27359755612079 8.1
2261 0.794166666666667 0.633333333333333 1 1 0 0 0 1 6 1.8843 1.35022656702623 0.546543706368068 2.7
2262 0.321666666666667 0.185 1 0 0 0 1 4 6 0.9539 -0.746122996537708 -1.48283228816254 5.8
