"lftd" "LS" "AS" "sekse" "noord" "oost" "zuid" "west" "regio" "lftj" "psw" "LOLS" "LOAS" "DT"
2192 0.3725 0.394166666666667 1 0 0 0 1 4 6 0.9235 -0.521506633186325 -0.429831089041585 -3.2
2193 0.3325 0.534166666666666 0 0 0 1 0 3 6 1.2059 -0.696899530178496 0.136879983765568 -15.7
2195 0.276666666666667 0.3 0 0 0 0 1 4 6 0.9601 -0.96105674574386 -0.847297860387204 -2.5
2195 0.340833333333333 0.473333333333333 0 1 0 0 0 1 6 1.8932 -0.659582811724854 -0.106767975425708 -10.4
2195 0.6975 0.56 1 1 0 0 0 1 6 1.8242 0.835421236224625 0.241162056816888 2
2197 0.3425 0.085 1 0 0 0 1 4 6 0.9235 -0.65217310634964 -2.3762728087852 13.2
2198 0.555 0.206666666666667 0 0 0 0 1 4 6 0.9601 0.220893831580194 -1.34513628862638 16.8
2198 0.476666666666667 0.0866666666666667 0 0 0 0 1 4 6 0.9601 -0.0934011750883994 -2.35503156836659 19.8
2198 0.6 0.444166666666667 1 0 0 0 1 4 6 0.9235 0.405465108108164 -0.224268621749778 5.3
2198 0.405833333333333 0.508333333333333 1 0 0 1 0 3 6 0.8712 -0.381217297331708 0.0333364202675904 -9.9
2201 0.1475 0.0966666666666667 0 0 0 0 1 4 6 0.9601 -1.7543450333778 -2.23482299089323 1.7
2203 0.535 0.516666666666667 1 0 1 0 0 2 6 0.9966 0.14022934130865 0.0666913744986738 -4
2204 0.19 0.4775 0 0 0 0 1 4 6 0.9601 -1.450010175506 -0.0900608239181811 -18.6
2205 0.290833333333333 0.454166666666667 1 0 0 0 1 4 6 0.9235 -0.891340206370948 -0.183849440972006 -11.5
2206 0.631666666666667 0.274166666666667 0 0 1 0 0 2 6 0.8745 0.539373503564675 -0.973584226087129 17.5
2207 0.6525 0.438333333333333 1 0 0 0 1 4 6 0.9235 0.630046474192001 -0.247928898174598 8.8
2207 0.576666666666667 0.438333333333333 1 0 0 0 1 4 6 0.9235 0.309104508039189 -0.247928898174598 4.3
2208 0.784166666666667 0.698333333333333 1 0 0 1 0 3 6 0.8712 1.29011507788584 0.839373888656311 -4.1
2208 0.585833333333333 0.3675 1 0 0 0 1 4 6 0.9235 0.346766865714035 -0.542956901948784 9.4
2209 0.403333333333333 0.491666666666667 1 0 0 0 1 4 6 0.9235 -0.391595260244015 -0.0333364202675907 -8.7
2210 0.331666666666667 0.394166666666667 1 0 0 0 1 4 6 0.9235 -0.700656602582075 -0.429831089041585 -5.4
2210 0.689166666666667 0.543333333333333 0 0 0 0 1 4 6 0.9601 0.796226275379878 0.173769274978636 2.8
2211 0.523333333333333 0.465 1 0 1 0 0 2 6 0.9966 0.0934011750883994 -0.14022934130865 -0.6
2214 0.460833333333333 0.595833333333333 0 0 0 1 0 3 6 1.2059 -0.156988292978567 0.388133651756523 -14.8
2214 0.02 0.611666666666667 0 1 0 0 0 1 6 1.8932 -3.89182029811063 0.454323394488871 -46.5
2215 0.3675 0.5 1 0 1 0 0 2 6 0.9966 -0.542956901948784 0 -11.2
2215 0.440833333333333 0.2 1 0 0 0 1 4 6 0.9235 -0.237780705113384 -1.38629436111989 11
2219 0.458333333333333 0.233333333333333 1 0 0 0 1 4 6 0.9235 -0.167054084663168 -1.18958406687384 10.1
2220 0.714166666666667 0.491666666666667 1 0 0 0 1 4 6 0.9235 0.915707471431841 -0.0333364202675907 8.7
2222 0.579166666666667 0.56 0 0 1 0 0 2 6 0.8745 0.319353416289434 0.241162056816888 -5.3
2224 0.225 0.321666666666667 1 0 0 1 0 3 6 0.8712 -1.23676262714893 -0.746122996537708 -6.5
2225 0.699166666666666 0.375833333333333 0 0 0 0 1 4 6 0.9601 0.843332748134322 -0.507271644014542 15.8
2225 0.4175 0.410833333333333 1 0 0 1 0 3 6 0.8712 -0.333044641148946 -0.360521491853884 -2.3
2226 0.2075 0.209166666666667 1 0 0 0 1 4 6 0.9235 -1.34006116608068 -1.32995585947814 -1.4
2226 0.605833333333333 0.249166666666667 0 1 0 0 0 1 6 1.8932 0.429831089041585 -1.10306168421765 17.2
2228 0.563333333333333 0.365 0 0 0 0 1 4 6 0.9601 0.254701391721921 -0.5537276453102 8.2
2229 0.28 0.285833333333333 1 0 0 0 1 4 6 0.9235 -0.944461608840851 -0.915707471431842 -1.7
2230 0.245 0.441666666666667 1 0 0 0 1 4 6 0.9235 -1.1254595387043 -0.234400705838843 -13
2232 0.5075 0.5 1 0 0 0 1 4 6 0.9235 0.0300022503037987 0 -4.2
2232 0.249166666666667 0.291666666666667 1 0 0 0 1 4 6 0.9235 -1.10306168421765 -0.887303195000901 -3.6
2233 0.689166666666667 0.466666666666667 1 0 0 0 1 4 6 0.9235 0.796226275379878 -0.133531392624521 8.9
2233 0.395 0.236666666666667 1 0 0 0 1 4 6 0.9235 -0.42634269312972 -1.17104212651292 6.7
2235 0.335833333333333 0.458333333333333 1 0 0 0 1 4 6 0.9235 -0.681918116843534 -0.167054084663168 -9.7
2237 0.22 0.493333333333333 0 1 0 0 0 1 6 1.8932 -1.26566637333128 -0.0266682470821627 -18.3
2237 0.469166666666667 0.488333333333333 0 0 0 0 1 4 6 0.9601 -0.123490027432472 -0.046675138570131 -5.3
2238 0.559166666666667 0.4775 1 0 1 0 0 2 6 0.9966 0.237780705113384 -0.0900608239181811 0.3
2238 0.5225 0.359166666666667 1 0 0 0 1 4 6 0.9235 0.0900608239181809 -0.578982879401895 6.3
2238 0.473333333333333 0.638333333333333 1 0 0 1 0 3 6 0.8712 -0.106767975425708 0.568137635640185 -18.1
2238 0.459166666666667 0.5175 1 0 0 1 0 3 6 0.8712 -0.163697907551174 0.0700286043604833 -8.2
2239 0.6125 0.354166666666667 0 0 0 1 0 3 6 1.2059 0.457833093625481 -0.600773860428929 11.6
2239 0.648333333333333 0.515833333333333 1 0 0 0 1 4 6 0.9235 0.611721210142378 0.0633545158326837 2.4
2239 0.520833333333333 0.460833333333333 1 0 0 1 0 3 6 0.8712 0.0833816089390498 -0.156988292978567 -0.5
2240 0.289166666666667 0.4725 1 0 0 0 1 4 6 0.9235 -0.899434767544818 -0.110111118416424 -13
2242 0.285833333333333 0.4575 0 0 0 0 1 4 6 0.9601 -0.915707471431842 -0.170411200699039 -12.1
2242 0.4375 0.296666666666667 0 0 0 1 0 3 6 1.2059 -0.251314428280906 -0.863221763743925 5.5
2243 0.265 0.595833333333333 1 0 0 0 1 4 6 0.9235 -1.02014067322661 0.388133651756523 -24.7
2244 0.480833333333333 0.545 1 0 1 0 0 2 6 0.9966 -0.0767042522793549 0.180488375712294 -9.4
2244 0.366666666666667 0.5575 0 0 0 1 0 3 6 1.2059 -0.546543706368069 0.23102203888629 -16.2
2244 0.605 0.438333333333333 0 0 0 1 0 3 6 1.2059 0.42634269312972 -0.247928898174598 5.7
2246 0.566666666666667 0.241666666666667 1 0 1 0 0 2 6 0.9966 0.268263986594681 -1.14356367653037 15.2
2246 0.675 0.6175 0 0 0 1 0 3 6 1.2059 0.730887508542793 0.478950415235542 -4.9
2247 0.731666666666667 0.5875 1 0 1 0 0 2 6 0.9966 1.00309504809071 0.353640040243578 1.7
2247 0.303333333333333 0.406666666666667 1 0 0 0 1 4 6 0.9235 -0.831474745447963 -0.377762505558827 -7.7
2248 0.536666666666667 0.439166666666667 1 0 1 0 0 2 6 0.9966 0.146930431853772 -0.244544781103364 1.8
2248 0.411666666666667 0.501666666666667 1 0 0 0 1 4 6 0.9235 -0.357079720305318 0.00666669135819084 -9.3
2248 0.4 0.2325 1 0 0 0 1 4 6 0.9235 -0.405465108108164 -1.19424825443394 7
2248 0.216666666666667 0.515833333333333 1 0 0 0 1 4 6 0.9235 -1.28519824424852 0.0633545158326837 -20.3
2248 0.64 0.438333333333333 1 0 1 0 0 2 6 0.9966 0.575364144903562 -0.247928898174598 7.8
2250 0.335 0.3125 1 0 0 0 1 4 6 0.9235 -0.685656508830788 -0.78845736036427 -0.5
2250 0.539166666666667 0.49 0 0 0 0 1 4 6 0.9601 0.156988292978567 -0.0400053346136992 -1.8
2252 0.343333333333333 0.278333333333333 0 0 1 0 0 2 6 0.8745 -0.648474740508354 -0.952743915585736 1.8
2252 0.615833333333333 0.480833333333333 1 1 0 0 0 1 6 1.8242 0.471899877951552 -0.0767042522793549 3.2
2253 0.164166666666667 0.545 0 0 0 0 1 4 6 0.9601 -1.62754705922394 0.180488375712294 -25.8
2254 0.838333333333333 0.243333333333333 0 0 0 0 1 4 6 0.9601 1.64587919159635 -1.13449057633301 33.9
2254 0.298333333333333 0.2225 0 0 1 0 0 2 6 0.8745 -0.855247027841628 -1.25115654244709 2.5
2255 0.83 0.533333333333333 1 0 0 0 1 4 6 0.9235 1.58562726374038 0.133531392624521 14.2
2255 0.11 0.461666666666667 0 0 0 1 0 3 6 1.2059 -2.09074109693377 -0.153634817035317 -22.7
2256 0.364166666666667 0.123333333333333 1 0 0 0 1 4 6 0.9235 -0.557324836188865 -1.96123611953354 11.3
2256 0.695833333333333 0.466666666666667 1 0 0 0 1 4 6 0.9235 0.827534371268362 -0.133531392624521 9.2
2257 0.245 0.235 0 0 1 0 0 2 6 0.8745 -1.1254595387043 -1.18029031968238 -0.9
2258 0.2875 0.43 1 0 0 0 1 4 6 0.9235 -0.9075570519054 -0.281851152140988 -10.1
2259 0.453333333333333 0.0633333333333333 1 0 0 0 1 4 6 0.9235 -0.187211542088148 -2.69391569016731 20
2261 0.434166666666667 0.3925 0 0 1 0 0 2 6 0.8745 -0.264871085805328 -0.43681563799224 -0.4
2261 0.266666666666667 0.0933333333333333 0 0 1 0 0 2 6 0.8745 -1.01160091167848 -2.27359755612079 8.4
2261 0.794166666666667 0.633333333333333 1 1 0 0 0 1 6 1.8242 1.35022656702623 0.546543706368068 2.2
2262 0.321666666666667 0.185 1 0 0 0 1 4 6 0.9235 -0.746122996537708 -1.48283228816254 5.7
2262 0.243333333333333 0.143333333333333 1 0 1 0 0 2 6 0.9966 -1.13449057633301 -1.78787596920166 4
2262 0.193333333333333 0.415833333333333 1 0 0 0 1 4 6 0.9235 -1.42849471561027 -0.339901791283073 -14.2
2263 0.3125 0.303333333333333 0 0 0 1 0 3 6 1.2059 -0.78845736036427 -0.831474745447963 -1.2
2264 0.0766666666666667 0.475 1 0 0 0 1 4 6 0.9235 -2.48852329025819 -0.100083458556983 -26.5
2266 0.409166666666667 0.67 0 0 0 0 1 4 6 0.9601 -0.367411398737605 0.708185057924486 -24.3
2266 0.553333333333333 0.501666666666667 0 0 0 0 1 4 6 0.9601 0.214147988405631 0.00666669135819084 -2.1
2267 0.393333333333333 0.645833333333333 1 0 0 1 0 3 6 0.8712 -0.433322062611132 0.600773860428929 -22.9
2268 0.298333333333333 0.135833333333333 0 0 1 0 0 2 6 0.8745 -0.855247027841628 -1.85033700742277 7.3
2268 0.508333333333333 0.513333333333333 1 0 1 0 0 2 6 0.9966 0.0333364202675904 0.0533459807052912 -5.4
2268 0.304166666666667 0.111666666666667 1 0 0 0 1 4 6 0.9235 -0.827534371268363 -2.07382880477487 9
2268 0.3675 0.2325 0 0 0 0 1 4 6 0.9601 -0.542956901948784 -1.19424825443394 5.3
2268 0.376666666666667 0.101666666666667 0 0 1 0 0 2 6 0.8745 -0.503720798142245 -2.17884170673568 13.3
2268 0.429166666666667 0.284166666666667 0 0 0 0 1 4 6 0.9601 -0.285251937598488 -0.923886444700737 5.6
2268 0.4375 0.466666666666667 1 0 0 0 1 4 6 0.9235 -0.251314428280906 -0.133531392624521 -5.4
2269 0.839166666666667 0.476666666666667 1 0 1 0 0 2 6 0.9966 1.65204070381368 -0.0934011750883994 19.5
2269 0.771666666666667 0.408333333333333 0 0 0 1 0 3 6 1.2059 1.21774612825811 -0.37085957893069 18.7
2270 0.503333333333333 0.0816666666666667 1 0 1 0 0 2 6 0.9966 0.0133335308694636 -2.41991451104229 21
2270 0.65 0.458333333333333 1 1 0 0 0 1 6 1.8242 0.619039208406224 -0.167054084663168 6.8
2271 0.320833333333333 0.200833333333333 1 0 1 0 0 2 6 0.9966 -0.74994477895308 -1.38109414139279 4.7
2271 0.66 0.611666666666667 0 0 0 0 1 4 6 0.9601 0.663294217410264 0.454323394488871 -5.4
2272 0.553333333333333 0.185 0 0 1 0 0 2 6 0.8745 0.214147988405631 -1.48283228816254 17.3
2273 0.209166666666667 0.138333333333333 1 0 0 0 1 4 6 0.9235 -1.32995585947814 -1.82920226671183 2.5
2273 0.805 0.498333333333333 1 0 0 0 1 4 6 0.9235 1.41784271885482 -0.00666669135819046 14.8
2275 0.734166666666667 0.360833333333333 1 0 1 0 0 2 6 0.9966 1.01586652315134 -0.571749073364768 18.8
2275 0.401666666666667 0.17 0 0 0 1 0 3 6 1.2059 -0.398525454997622 -1.58562726374038 10.3
2276 0.375 0.3875 0 0 0 0 1 4 6 0.9601 -0.510825623765991 -0.45783309362548 -3.1
2277 0.4875 0.398333333333333 1 1 0 0 0 1 6 1.8242 -0.0500104205746613 -0.412414406401372 1.8
2278 0.496666666666667 0.435833333333333 1 0 0 0 1 4 6 0.9235 -0.0133335308694638 -0.258089808847353 -0.2
2279 0.614166666666667 0.21 0 0 1 0 0 2 6 0.8745 0.464860838103104 -1.3249254147436 19.4
2279 0.735833333333333 0.494166666666667 1 0 0 0 1 4 6 0.9235 1.02442342672668 -0.0233343920617716 9.8
2282 0.626666666666667 0.564166666666667 0 0 0 0 1 4 6 0.9601 0.517943091534856 0.258089808847354 -3.2
2282 0.165833333333333 0.125833333333333 1 0 0 0 1 4 6 0.9235 -1.61544995459073 -1.93831277158138 0.7
2282 0.363333333333333 0.5225 1 0 0 0 1 4 6 0.9235 -0.560925545817488 0.0900608239181809 -13.5
2283 0.284166666666667 0.509166666666667 1 0 1 0 0 2 6 0.9966 -0.923886444700737 0.0366707755200098 -16.3
2283 0.5075 0.56 1 0 0 1 0 3 6 0.8712 0.0300022503037987 0.241162056816888 -9.5
2283 0.326666666666667 0.2375 1 0 0 1 0 3 6 0.8712 -0.723300218730631 -1.16643488500687 3
2284 0.3875 0.434166666666667 0 0 0 0 1 4 6 0.9601 -0.45783309362548 -0.264871085805328 -5.6
2285 0.594166666666667 0.576666666666667 0 0 0 0 1 4 6 0.9601 0.381217297331707 0.309104508039189 -6.3
2285 0.435833333333333 0.521666666666667 1 0 0 0 1 4 6 0.9235 -0.258089808847353 0.0867209747805333 -9.9
2285 0.0683333333333333 0.0991666666666667 0 0 1 0 0 2 6 0.8745 -2.61257740645079 -2.20651832452768 -4.9
2286 0.475 0.515 1 0 0 1 0 3 6 0.8712 -0.100083458556983 0.060018009726253 -7.4
2286 0.590833333333333 0.623333333333333 1 0 0 0 1 4 6 0.9235 0.367411398737605 0.503720798142245 -10.7
2286 0.534166666666667 0.239166666666667 0 0 0 1 0 3 6 1.2059 0.136879983765572 -1.15725366483535 13.3
2287 0.5575 0.295 1 0 1 0 0 2 6 0.9966 0.23102203888629 -0.871222446472449 11.5
2287 0.763333333333333 0.541666666666667 0 0 0 0 1 4 6 0.9601 1.17104212651292 0.167054084663167 7.9
2287 0.351666666666667 0.483333333333333 1 0 0 0 1 4 6 0.9235 -0.611721210142378 -0.0666913744986737 -11
2288 0.1825 0.595833333333333 1 0 1 0 0 2 6 0.9966 -1.49950072974886 0.388133651756523 -29.2
2288 0.133333333333333 0.265833333333333 0 0 0 0 1 4 6 0.9601 -1.87180217690159 -1.01586652315134 -9.1
2288 0.478333333333333 0.31 1 0 0 1 0 3 6 0.8712 -0.0867209747805333 -0.800119300112113 6.5
2290 0.490833333333333 0.425833333333333 0 0 1 0 0 2 6 0.8745 -0.03667077552001 -0.298871680809955 0.1
2290 0.449166666666667 0.440833333333333 0 0 0 0 1 4 6 0.9601 -0.204038268942688 -0.237780705113384 -3.1
2291 0.413333333333333 0.42 1 0 0 1 0 3 6 0.8712 -0.350202429433116 -0.322773392263051 -3.4
2292 0.2975 0.451666666666667 1 0 0 0 1 4 6 0.9235 -0.859231176222216 -0.19393892988567 -11.3
2292 0.6225 0.5175 1 0 0 1 0 3 6 0.8712 0.500173059649784 0.0700286043604833 0.5
2292 0.43 0.545 0 0 0 0 1 4 6 0.9601 -0.281851152140988 0.180488375712294 -12.2
2293 0.440833333333333 0.0833333333333333 0 0 1 0 0 2 6 0.8745 -0.237780705113384 -2.39789527279837 17.5
2293 0.653333333333333 0.5325 1 0 1 0 0 2 6 0.9966 0.633723760089143 0.130183548854838 1.1
2294 0.589166666666667 0.485 1 0 0 0 1 4 6 0.9235 0.360521491853884 -0.060018009726253 1.1
2294 0.66 0.138333333333333 1 0 0 1 0 3 6 0.8712 0.663294217410264 -1.82920226671183 26
2294 0.46 0.2875 0 0 0 0 1 4 6 0.9601 -0.160342650075179 -0.9075570519054 6.8
2295 0.39 0.389166666666667 1 0 0 0 1 4 6 0.9235 -0.447312218043665 -0.450816444217753 -2.6
2295 0.414166666666667 0.541666666666666 0 0 0 0 1 4 6 0.9601 -0.346766865714035 0.167054084663163 -12.7
2296 0.25 0.53 1 0 0 0 1 4 6 0.9235 -1.09861228866811 0.120144311842063 -19.8
2297 0.596666666666667 0.421666666666667 1 0 1 0 0 2 6 0.9966 0.391595260244015 -0.315935291219337 6.1
2298 0.5925 0.326666666666667 0 0 0 0 1 4 6 0.9601 0.374309940328369 -0.723300218730631 11.7
2298 0.603333333333333 0.311666666666667 0 0 0 0 1 4 6 0.9601 0.419373538154295 -0.792338976106445 13.1
2298 0.425 0.443333333333333 1 0 0 0 1 4 6 0.9235 -0.302280871872934 -0.227644684195003 -4.5
2298 0.653333333333333 0.440833333333333 0 0 0 0 1 4 6 0.9601 0.633723760089143 -0.237780705113384 8.1
2298 0.2775 0.476666666666667 0 0 0 1 0 3 6 1.2059 -0.956896486800098 -0.0934011750883994 -14.1
2299 0.443333333333333 0.246666666666667 0 0 0 0 1 4 6 0.9601 -0.227644684195003 -1.11646990606811 8.1
2300 0.2625 0.0783333333333333 0 0 0 0 1 4 6 0.9601 -1.0330150061823 -2.46521039981228 9.1
2300 0.525833333333333 0.4875 1 0 0 1 0 3 6 0.8712 0.103425428414881 -0.0500104205746613 -2.6
2300 0.2575 0.343333333333333 1 0 0 0 1 4 6 0.9235 -1.05900315057306 -0.648474740508354 -6.4
2300 0.45 0.354166666666667 0 0 1 0 0 2 6 0.8745 -0.200670695462151 -0.600773860428929 2.5
2300 0.475 0.476666666666667 0 0 0 0 1 4 6 0.9601 -0.100083458556983 -0.0934011750883994 -4.4
2301 0.570833333333333 0.410833333333333 1 0 1 0 0 2 6 0.9966 0.285251937598488 -0.360521491853884 5.3
2301 0.37 0.459166666666667 0 0 0 0 1 4 6 0.9601 -0.532216813747308 -0.163697907551174 -8.3
2301 0.549166666666667 0.409166666666667 0 0 0 1 0 3 6 1.2059 0.197304255656027 -0.367411398737605 4.2
2303 0.408333333333333 0.300833333333333 0 0 0 0 1 4 6 0.9601 -0.37085957893069 -0.843332748134327 3.4
2303 0.176666666666667 0.255 0 0 0 0 1 4 6 0.9601 -1.53909642307585 -1.07212067322113 -5.8
2303 0.484166666666667 0.43 1 0 0 0 1 4 6 0.9235 -0.0633545158326833 -0.281851152140988 -0.6
2304 0.66 0.425833333333333 0 0 0 1 0 3 6 1.2059 0.663294217410264 -0.298871680809955 9.6
2305 0.524166666666667 0.143333333333333 1 0 0 0 1 4 6 0.9235 0.0967420470444316 -1.78787596920166 17.8
2306 0.585 0.400833333333333 0 0 1 0 0 2 6 0.8745 0.343333327001158 -0.401994087615287 6.7
2307 0.403333333333333 0.0883333333333333 0 0 1 0 0 2 6 0.8745 -0.391595260244015 -2.33415688886986 15.2
2307 0.598333333333333 0.335833333333333 1 0 0 1 0 3 6 0.8712 0.398525454997623 -0.681918116843534 11.4
2307 0.546666666666667 0.21 0 0 0 1 0 3 6 1.2059 0.187211542088148 -1.3249254147436 15.3
2308 0.2825 0.3675 1 0 0 1 0 3 6 0.8712 -0.932094397047281 -0.542956901948784 -6.6
2308 0.498333333333333 0.4975 1 0 1 0 0 2 6 0.9966 -0.00666669135819046 -0.0100000833345833 -4.9
2309 0.2375 0.370833333333333 0 0 0 1 0 3 6 1.2059 -1.16643488500687 -0.528643467082786 -9
2309 0.390833333333333 0.1175 0 0 0 0 1 4 6 0.9601 -0.443810691303501 -2.01632045522324 12.7
2311 0.528333333333333 0.4525 1 0 1 0 0 2 6 0.9966 0.113454876234042 -0.190574698550675 0.1
2311 0.7775 0.54 1 0 0 0 1 4 6 0.9235 1.25115654244709 0.160342650075179 9
2313 0.349166666666667 0.630833333333333 1 0 1 0 0 2 6 0.9966 -0.622704229917547 0.535793483392312 -23.9
2313 0.484166666666667 0.4925 1 0 0 0 1 4 6 0.9235 -0.0633545158326833 -0.030002250303799 -5.2
2313 0.2325 0.0766666666666667 0 0 0 0 1 4 6 0.9601 -1.19424825443394 -2.48852329025819 7.6
2314 0.314166666666667 0.250833333333333 1 0 1 0 0 2 6 0.9966 -0.780711013229058 -1.09417276972275 1.5
2314 0.385833333333333 0.208333333333333 1 0 1 0 0 2 6 0.9966 -0.464860838103104 -1.33500106673234 7.2
2314 0.650833333333333 0.556666666666666 0 0 0 0 1 4 6 0.9601 0.622704229917547 0.227644684194999 -1.3
2316 0.5525 0.555 0 0 1 0 0 2 6 0.8745 0.210776895676998 0.220893831580194 -6.8
2316 0.8575 0.624166666666667 0 0 0 0 1 4 6 0.9601 1.79467917933139 0.507271644014542 8.5
2317 0.164166666666667 0.151666666666667 0 0 0 0 1 4 6 0.9601 -1.62754705922394 -1.72158851003367 -1
2317 0.565 0.095 0 0 0 1 0 3 6 1.2059 0.261479700057757 -2.25405805209939 23
2317 0.108333333333333 0.253333333333333 1 0 0 0 1 4 6 0.9235 -2.10787947700037 -1.08091271156871 -10.2
2317 0.61 0.528333333333333 0 0 0 0 1 4 6 0.9601 0.447312218043665 0.113454876234042 -1.3
2318 0.643333333333333 0.615833333333333 0 0 0 1 0 3 6 1.2059 0.589861354442978 0.471899877951552 -7.1
2318 0.6025 0.594166666666667 1 0 0 1 0 3 6 0.8712 0.415892731270424 0.381217297331707 -7.5
2318 0.3 0.576666666666666 0 0 0 0 1 4 6 0.9601 -0.847297860387204 0.309104508039185 -21.4
2318 0.571666666666667 0.416666666666667 0 0 1 0 0 2 6 0.8745 0.288654362270721 -0.336472236621212 4.9
2319 0.285833333333333 0.3475 1 0 0 0 1 4 6 0.9235 -0.915707471431842 -0.630046474192002 -5.2
2319 0.593333333333333 0.408333333333333 0 0 0 0 1 4 6 0.9601 0.377762505558827 -0.37085957893069 6.6
2319 0.41 0.293333333333333 0 1 0 0 0 1 6 1.8932 -0.363965377201412 -0.879249460193808 3.8
2321 0.1725 0.101666666666667 0 0 0 1 0 3 6 1.2059 -1.5680118707798 -2.17884170673568 2.5
2321 0.161666666666667 0.103333333333333 0 0 0 0 1 4 6 0.9601 -1.64587919159635 -2.1607241751167 1.8
2322 0.426666666666667 0.539166666666667 1 0 1 0 0 2 6 0.9966 -0.295464212893835 0.156988292978567 -12
2322 0.634166666666667 0.286666666666667 0 0 1 0 0 2 6 0.8745 0.550133944786516 -0.911628718768342 16.2
2323 0.503333333333333 0.515833333333333 0 0 0 0 1 4 6 0.9601 0.0133335308694636 0.0633545158326837 -6.2
2324 0.186666666666667 0.199166666666667 0 0 0 0 1 4 6 0.9601 -1.47181653455805 -1.39151085703878 -2.4
2325 0.520833333333333 0.526666666666667 1 0 0 1 0 3 6 0.8712 0.0833816089390498 0.106767975425707 -6.2
2325 0.339166666666667 0.56 0 0 0 0 1 4 6 0.9601 -0.667010036192251 0.241162056816888 -18
2326 0.235 0.0975 0 0 0 0 1 4 6 0.9601 -1.18029031968238 -2.22531631220323 6.2
2326 0.759166666666667 0.511666666666667 1 0 0 1 0 3 6 0.8712 1.14811620914753 0.0466751385701314 9.9
2327 0.344166666666667 0.569166666666667 0 0 1 0 0 2 6 0.8745 -0.644780655456369 0.278451985062363 -18.6
2327 0.343333333333333 0.244166666666667 1 0 0 1 0 3 6 0.8712 -0.648474740508354 -1.12996984109807 3.2
2327 0.206666666666667 0.156666666666667 1 0 0 1 0 3 6 0.8712 -1.34513628862638 -1.68324188701746 1.1
2329 0.6675 0.311666666666667 1 0 0 0 1 4 6 0.9235 0.696899530178496 -0.792338976106445 16.8
2329 0.679166666666666 0.570833333333333 1 0 0 0 1 4 6 0.9235 0.749944778953076 0.285251937598488 -0.8
