Age_days	Mean_All_Lion_prop	Female	Noord	Oost	Zuid	West	Regio	Age_years	psw
2192	.7075	1	0	0	0	1	4	6	.9991
2192	.3725	1	0	0	0	1	4	6	.9991
2193	.753333333333333	0	0	0	0	1	4	6	1.0014
2193	.3325	0	0	0	1	0	3	6	.8947
2195	.276666666666667	0	0	0	0	1	4	6	1.0014
2195	.340833333333333	0	1	0	0	0	1	6	1.9502
2195	.6975	1	1	0	0	0	1	6	1.9707
2197	.3425	1	0	0	0	1	4	6	.9991
2198	.555	0	0	0	0	1	4	6	1.0014
2198	.476666666666667	0	0	0	0	1	4	6	1.0014
2198	.348333333333333	0	0	0	1	0	3	6	.8947
2198	.405833333333333	1	0	0	1	0	3	6	.9207
2201	.333333333333333	1	0	1	0	0	2	6	.8787
2201	.1475	0	0	0	0	1	4	6	1.0014
2205	.290833333333333	1	0	0	0	1	4	6	.9991
2206	.631666666666667	0	0	1	0	0	2	6	.9003
2207	.6525	1	0	0	0	1	4	6	.9991
2208	.784166666666667	1	0	0	1	0	3	6	.9207
2208	.585833333333333	1	0	0	0	1	4	6	.9991
2209	.403333333333333	1	0	0	0	1	4	6	.9991
2210	.331666666666667	1	0	0	0	1	4	6	.9991
2214	.460833333333333	0	0	0	1	0	3	6	.8947
2214	.02	0	1	0	0	0	1	6	1.9502
2215	.3675	1	0	1	0	0	2	6	.8787
2215	.4475	1	0	0	1	0	3	6	.9207
2215	.374166666666667	0	0	0	0	1	4	6	1.0014
2215	.440833333333333	1	0	0	0	1	4	6	.9991
2217	.5475	1	0	0	0	1	4	6	.9991
2217	.519166666666667	0	0	0	0	1	4	6	1.0014
2219	.458333333333333	1	0	0	0	1	4	6	.9991
2219	.4325	1	0	0	0	1	4	6	.9991
2220	.714166666666667	1	0	0	0	1	4	6	.9991
2221	.400833333333333	0	0	0	0	1	4	6	1.0014
2222	.579166666666667	0	0	1	0	0	2	6	.9003
2224	.225	1	0	0	1	0	3	6	.9207
2225	.699166666666666	0	0	0	0	1	4	6	1.0014
2225	.4175	1	0	0	1	0	3	6	.9207
2226	.2075	1	0	0	0	1	4	6	.9991
2226	.605833333333333	0	1	0	0	0	1	6	1.9502
2228	.563333333333333	0	0	0	0	1	4	6	1.0014
2229	.28	1	0	0	0	1	4	6	.9991
2231	.609166666666667	1	0	1	0	0	2	6	.8787
2232	.5425	1	0	0	0	1	4	6	.9991
2232	.633333333333333	1	0	1	0	0	2	6	.8787
2232	.249166666666667	1	0	0	0	1	4	6	.9991
2233	.395	1	0	0	0	1	4	6	.9991
2235	.864166666666667	1	0	0	1	0	3	6	.9207
2235	.304166666666667	0	0	0	1	0	3	6	.8947
2235	.335833333333333	1	0	0	0	1	4	6	.9991
2237	.22	0	1	0	0	0	1	6	1.9502
2237	.469166666666667	0	0	0	0	1	4	6	1.0014
2238	.5225	1	0	0	0	1	4	6	.9991
2238	.473333333333333	1	0	0	1	0	3	6	.9207
2239	.6125	0	0	0	1	0	3	6	.8947
2239	.520833333333333	1	0	0	1	0	3	6	.9207
2239	.5925	0	0	0	1	0	3	6	.8947
2240	.430833333333333	1	0	0	1	0	3	6	.9207
2240	.289166666666667	1	0	0	0	1	4	6	.9991
2241	.573333333333333	0	0	1	0	0	2	6	.9003
