Age_days	Mean_All_Monkey_prop	Female	Noord	Oost	Zuid	West	Regio	Age_years	psw
2197	.589166666666667	0	0	0	0	1	4	6	.9225
2225	.540833333333333	1	0	1	0	0	2	6	.9915
2229	.281666666666667	1	0	0	0	1	4	6	.8912
2237	.391666666666667	0	0	0	0	1	4	6	.9225
2238	.39	1	0	0	0	1	4	6	.8912
2251	.605	1	0	0	0	1	4	6	.8912
2255	.569166666666667	1	0	0	0	1	4	6	.8912
2256	.574166666666667	1	0	1	0	0	2	6	.9915
2258	.375	1	0	0	0	1	4	6	.8912
2258	.573333333333333	1	0	0	0	1	4	6	.8912
2259	.519166666666667	0	0	1	0	0	2	6	1.0068
2259	.0933333333333333	0	0	0	0	1	4	6	.9225
2260	.210833333333333	0	0	0	1	0	3	6	1.0341
2264	.435833333333333	0	0	0	0	1	4	6	.9225
2265	.346666666666667	1	0	0	0	1	4	6	.8912
2266	.340833333333333	1	0	0	0	1	4	6	.8912
2272	.533333333333333	1	0	0	0	1	4	6	.8912
2274	.113333333333333	1	0	0	0	1	4	6	.8912
2278	.488333333333333	0	0	1	0	0	2	6	1.0068
2279	.238333333333333	0	0	0	0	1	4	6	.9225
2285	.310833333333333	0	0	0	0	1	4	6	.9225
2287	.279166666666667	1	0	1	0	0	2	6	.9915
2288	.445	1	0	0	0	1	4	6	.8912
2294	.101666666666667	0	0	1	0	0	2	6	1.0068
2294	.236666666666667	0	0	0	1	0	3	6	1.0341
2294	.505833333333333	0	0	1	0	0	2	6	1.0068
2299	.298333333333333	0	0	0	0	1	4	6	.9225
2302	.18	0	0	0	0	1	4	6	.9225
2303	.801666666666667	0	0	0	0	1	4	6	.9225
2303	.515833333333333	1	0	0	0	1	4	6	.8912
2304	.540833333333333	1	0	0	0	1	4	6	.8912
2305	.3675	1	0	0	0	1	4	6	.8912
2305	.12	1	0	0	0	1	4	6	.8912
2306	.599166666666667	0	0	0	0	1	4	6	.9225
2309	.323333333333333	0	0	0	0	1	4	6	.9225
2310	.29	1	0	0	0	1	4	6	.8912
2310	.454166666666667	0	0	0	0	1	4	6	.9225
2311	.2275	0	0	0	0	1	4	6	.9225
2313	.0791666666666667	0	0	0	0	1	4	6	.9225
2313	.56	1	1	0	0	0	1	6	1.9055
2313	.473333333333333	0	1	0	0	0	1	6	1.5674
2316	.103333333333333	1	0	1	0	0	2	6	.9915
2317	.206666666666667	0	0	0	0	1	4	6	.9225
2317	.0866666666666667	0	0	0	0	1	4	6	.9225
2317	.233333333333333	1	0	0	0	1	4	6	.8912
2318	.433333333333333	1	0	0	0	1	4	6	.8912
2319	.3	0	0	0	0	1	4	6	.9225
2319	.4775	0	0	0	0	1	4	6	.9225
2320	.376666666666667	0	0	0	0	1	4	6	.9225
2322	.085	1	0	0	0	1	4	6	.8912
2322	.516666666666667	1	0	1	0	0	2	6	.9915
2323	.444166666666667	1	0	0	0	1	4	6	.8912
2323	.534166666666666	0	0	0	1	0	3	6	1.0341
2324	.4175	0	0	1	0	0	2	6	1.0068
2326	.491666666666667	1	0	0	0	1	4	6	.8912
2327	.394166666666667	1	0	0	0	1	4	6	.8912
2328	.508333333333333	1	0	0	1	0	3	6	1.0978
2329	.225833333333333	1	0	1	0	0	2	6	.9915
2329	.0966666666666667	0	0	0	0	1	4	6	.9225
2331	.454166666666667	1	0	0	0	1	4	6	.8912
2333	.698333333333333	1	0	0	1	0	3	6	1.0978
2333	.611666666666667	0	1	0	0	0	1	6	1.5674
2337	.321666666666667	1	0	0	1	0	3	6	1.0978
2338	.5	1	0	1	0	0	2	6	.9915
2339	.386666666666667	1	0	0	0	1	4	6	.8912
2343	.2075	1	0	0	0	1	4	6	.8912
2343	.58	1	0	0	1	0	3	6	1.0978
2344	.249166666666667	0	1	0	0	0	1	6	1.5674
2345	.365	0	0	0	0	1	4	6	.9225
2345	.410833333333333	1	0	0	1	0	3	6	1.0978
2346	.491666666666667	1	0	0	0	1	4	6	.8912
2346	.366666666666667	1	0	1	0	0	2	6	.9915
2347	.384166666666667	1	0	0	0	1	4	6	.8912
2347	.2	1	0	0	0	1	4	6	.8912
2351	.459166666666667	0	0	0	0	1	4	6	.9225
2352	.466666666666667	1	0	0	0	1	4	6	.8912
2352	.209166666666667	1	0	0	0	1	4	6	.8912
2355	.296666666666667	0	0	0	1	0	3	6	1.0341
2356	.5575	0	0	0	1	0	3	6	1.0341
2357	.236666666666667	1	0	0	0	1	4	6	.8912
2357	.560833333333333	1	0	0	0	1	4	6	.8912
2357	.493333333333333	0	1	0	0	0	1	6	1.5674
2358	.143333333333333	1	0	1	0	0	2	6	.9915
2358	.595833333333333	1	0	0	0	1	4	6	.8912
2358	.5175	1	0	0	1	0	3	6	1.0978
2358	.291666666666667	1	0	0	0	1	4	6	.8912
2360	.488333333333333	0	0	0	0	1	4	6	.9225
2361	.464166666666667	0	0	1	0	0	2	6	1.0068
2362	.460833333333333	1	0	0	1	0	3	6	1.0978
2363	.67	0	0	0	0	1	4	6	.9225
2363	.548333333333333	1	0	1	0	0	2	6	.9915
2364	.354166666666667	0	0	0	1	0	3	6	1.0341
2364	.359166666666667	1	0	0	0	1	4	6	.8912
2365	.5875	1	0	1	0	0	2	6	.9915
2365	.501666666666667	1	0	0	0	1	4	6	.8912
2365	.4575	0	0	0	0	1	4	6	.9225
2366	.271666666666667	1	0	1	0	0	2	6	.9915
2366	.6175	0	0	0	1	0	3	6	1.0341
2367	.3125	1	0	0	0	1	4	6	.8912
2368	.638333333333333	1	0	0	1	0	3	6	1.0978
2368	.461666666666667	0	0	0	1	0	3	6	1.0341
2370	.243333333333333	0	0	0	0	1	4	6	.9225
2370	.480833333333333	1	1	0	0	0	1	6	1.9055
2371	.123333333333333	1	0	0	0	1	4	6	.8912
2371	.406666666666667	1	0	0	0	1	4	6	.8912
2371	.11	1	0	1	0	0	2	6	.9915
2375	.43	1	0	0	0	1	4	6	.8912
2377	.545	0	0	0	0	1	4	6	.9225
2380	.645833333333333	1	0	0	1	0	3	6	1.0978
2382	.143333333333333	1	0	1	0	0	2	6	.9915
2386	.499166666666667	1	0	0	0	1	4	6	.8912
2388	.433333333333333	1	0	1	0	0	2	6	.9915
2388	.498333333333333	1	0	0	0	1	4	6	.8912
2388	.475	1	0	0	0	1	4	6	.8912
2389	.135833333333333	0	0	1	0	0	2	6	1.0068
2390	.185	0	0	1	0	0	2	6	1.0068
2391	.513333333333333	1	0	1	0	0	2	6	.9915
2392	.42	1	0	0	1	0	3	6	1.0978
2394	.101666666666667	0	0	1	0	0	2	6	1.0068
2394	.466666666666667	1	0	0	0	1	4	6	.8912
2395	.175	1	0	1	0	0	2	6	.9915
2396	.611666666666667	0	0	0	0	1	4	6	.9225
2396	.300833333333333	0	0	0	0	1	4	6	.9225
2400	.576666666666667	0	0	0	0	1	4	6	.9225
2400	.17	0	0	0	1	0	3	6	1.0341
2402	.111666666666667	1	0	0	0	1	4	6	.8912
